ct,league,home,away,direction_name,direction_prob,direction_odds,direction_ev,direction_vetoed,veto_reason,best_bet_name,best_bet_odds,best_bet_ev,star,ev_tier,dir_consistency,lambda_sum,snap_age_h,draw_warn,upset,risk_tags,notes
08-22 23:00,西甲,Athletic Club,Sevilla,小2.50,0.5246,1.73,-0.1072,False,,大2.50,2.28,0.0661,1,观察,"{'groups': {'1X2': {'dir': '1X2客胜', 'ev': 57.4}, '让球': {'dir': '让球客(+0.8)', 'ev': -1.2}, '大小球': {'dir': '大2.50', 'ev': 6.6}}, 'level': '无正EV'}",2.58,2.3,"{'market_draw_prob': 26.6, 'strong': False}","{'hot': 'Athletic Club', 'level': '轻度风险', 'count': 3, 'signals': ['L2大热低赔', 'L2大热低赔(去水概率>=55%%)', 'F2疲劳修正(系数0.90)']}",纯数据无伤病情报;平局预警(市场去水平局>=26%),"主队样本偏少, 攻防向联赛均值收缩"
08-23 01:30,西甲,Valencia,Celta Vigo,小2.50,0.5806,1.69,-0.0236,False,,,,,,垃圾,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 21.3}, '让球': {'dir': '让球客(+0.2)', 'ev': -5.5}, '大小球': {'dir': '大2.50', 'ev': 1.0}}, 'level': '主向分歧'}",2.36,4.8,"{'market_draw_prob': 31.0, 'strong': True}","{'hot': 'Valencia', 'level': '低风险', 'count': 1, 'signals': ['F2疲劳修正(系数0.90)']}",纯数据无伤病情报;伤停>2人(主3/客2);平局预警-强(市场去水平局>=30%),"数据包伤停: 主队伤停3人(如Alberto Mari,José Copete,Sergi Canós)"
08-23 03:30,西甲,Espanyol,Real Madrid,让球主(+1.2),0.65,1.94,0.2539,True,模型与市场分歧>20pp(模型77% vs 市场51%),,,,,否决,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 105.8}, '让球': {'dir': '让球主(+1.2)', 'ev': 25.4}, '大小球': {'dir': '小2.50', 'ev': 32.7}}, 'level': '主向稳胜'}",2.24,6.8,,"{'hot': 'Real Madrid', 'level': '轻度风险', 'count': 3, 'signals': ['L2大热低赔', 'L2大热低赔(去水概率>=55%%)', 'F2疲劳修正(系数0.90)']}",纯数据无伤病情报;伤停>2人(主3/客5);模型与市场分歧>20pp(模型77% vs 市场51%)->否决,"数据包伤停: 主队伤停3人(如Javi Puado,Kike García,Leandro Cabre); 客队伤停5人(如Éder Militão,Ferland Mendy,Raúl Asen);概率封顶校准: 1腿概率>65%压至65%(实测高置信档高估, EV同抽水重算)"
