ct,league,home,away,direction_name,direction_prob,direction_odds,direction_ev,direction_vetoed,veto_reason,best_bet_name,best_bet_odds,best_bet_ev,star,ev_tier,dir_consistency,lambda_sum,snap_age_h,draw_warn,upset,risk_tags,notes
08-22 22:00,英冠,Wrexham,Watford,大2.50,0.6099,1.93,0.1728,False,,大2.50,1.93,0.1728,1,标准,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 9.5}, '让球': {'dir': '让球主(-0.5)', 'ev': 20.5}, '大小球': {'dir': '大2.50', 'ev': 17.3}}, 'level': '三向一致'}",3.15,1.3,"{'market_draw_prob': 26.2, 'strong': False}","{'hot': 'Wrexham', 'level': '低风险', 'count': 1, 'signals': ['F2疲劳修正(系数0.90)']}",纯数据无伤病情报;伤停>2人(主1/客3);平局预警(市场去水平局>=26%),"数据包伤停: 客队伤停3人(如Jeremy Ngakia,Kwadwo Baah,Marc Bola)"
08-22 22:00,英冠,West Ham United,Charlton Athletic,让球客(+1.2),0.6478,2.02,0.2812,False,,让球客(+1.2),2.02,0.2812,2,高价值,"{'groups': {'1X2': {'dir': '1X2平局', 'ev': 44.6}, '让球': {'dir': '让球客(+1.2)', 'ev': 28.1}, '大小球': {'dir': '小2.50', 'ev': 30.3}}, 'level': '平局主导'}",2.21,1.3,,"{'hot': 'West Ham United', 'level': '轻度风险', 'count': 3, 'signals': ['L2大热低赔', 'L2大热低赔(去水概率>=55%%)', 'F2疲劳修正(系数0.90)']}","纯数据无伤病情报;伤停>2人(主4/客0);联赛英冠历史负ROI(观察期, 300场后定禁入)","数据包伤停: 主队伤停4人(如Jean-Clair Todibo,Pablo Felipe,Soung);客队数据来自E2;客队跨联赛用E2数据(快照联赛与数据联赛不符), 攻防收缩30%"
08-22 22:00,英冠,Swansea City,Sheffield United,小2.50,0.6268,2.04,0.2782,False,,小2.50,2.04,0.2782,2,高价值,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 15.2}, '让球': {'dir': '让球主(+0.0)', 'ev': 15.8}, '大小球': {'dir': '小2.50', 'ev': 27.8}}, 'level': '主向稳胜'}",2.18,1.3,"{'market_draw_prob': 28.0, 'strong': False}","{'hot': 'Swansea City', 'level': '轻度风险', 'count': 2, 'signals': ['L5主客接近无明显热门(慎标冷门)', 'F2疲劳修正(系数0.90)']}","纯数据无伤病情报;伤停>2人(主3/客0);平局预警(市场去水平局>=26%);联赛英冠历史负ROI(观察期, 300场后定禁入)","数据包伤停: 主队伤停3人(如Cameron Burgess,Gonçalo Franco,Ross );主队数据来自E2;主队跨联赛用E2数据(快照联赛与数据联赛不符), 攻防收缩30%"
08-22 22:00,英冠,Southampton,Stoke City,让球主(-0.8),0.65,1.875,0.1723,False,,让球主(-0.8),1.875,0.1723,1,标准,"{'groups': {'1X2': {'dir': '1X2平局', 'ev': 6.7}, '让球': {'dir': '让球主(-0.8)', 'ev': 17.2}, '大小球': {'dir': '小2.50', 'ev': 34.3}}, 'level': '平局主导'}",2.31,1.3,,"{'hot': 'Southampton', 'level': '轻度风险', 'count': 3, 'signals': ['L2大热低赔', 'L2大热低赔(去水概率>=55%%)', 'F2疲劳修正(系数0.90)']}",纯数据无伤病情报;伤停>2人(主0/客4),"数据包伤停: 客队伤停4人(如Aaron Cresswell,Ato Ampah,Junior Tch);客队数据来自E2;客队跨联赛用E2数据(快照联赛与数据联赛不符), 攻防收缩30%;概率封顶校准: 1腿概率>65%压至65%(实测高置信档高估, EV同抽水重算)"
08-22 22:00,英冠,Queens Park Rangers,Bolton Wanderers,让球客(+0.5),0.6174,2.04,0.2492,False,,让球客(+0.5),2.04,0.2492,2,高价值,"{'groups': {'1X2': {'dir': '1X2客胜', 'ev': 51.2}, '让球': {'dir': '让球客(+0.5)', 'ev': 24.9}, '大小球': {'dir': '大2.50', 'ev': 8.5}}, 'level': '三向一致'}",2.94,1.3,,"{'hot': 'Queens Park Rangers', 'level': '轻度风险', 'count': 2, 'signals': ['F2疲劳修正(系数0.90)', 'F4基本面攻防接近(冷门温床)']}","纯数据无伤病情报;伤停>2人(主4/客2);联赛英冠历史负ROI(观察期, 300场后定禁入)","数据包伤停: 主队伤停4人(如Boy Kemper,Justin Obikwu,Karamoko De);主队数据来自E2;客队数据来自E2;主队跨联赛用E2数据(快照联赛与数据联赛不符), 攻防收缩30%;客队跨联赛用E2数据(快照联赛与数据联赛不符), 攻防收缩30%;客队样本偏少, 攻防向联赛均值收缩"
08-22 22:00,英冠,Preston North End,Wolverhampton,让球主(+0.5),0.6011,1.9,0.1341,False,,让球主(+0.5),1.9,0.1341,1,标准,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 28.1}, '让球': {'dir': '让球主(+0.5)', 'ev': 13.4}, '大小球': {'dir': '小2.50', 'ev': 10.3}}, 'level': '主向稳胜'}",2.48,1.3,"{'market_draw_prob': 27.3, 'strong': False}","{'hot': 'Wolverhampton', 'level': '轻度风险', 'count': 2, 'signals': ['F2疲劳修正(系数0.90)', 'F4基本面攻防接近(冷门温床)']}",纯数据无伤病情报;平局预警(市场去水平局>=26%),"主队数据来自E2;主队跨联赛用E2数据(快照联赛与数据联赛不符), 攻防收缩30%;客队样本偏少, 攻防向联赛均值收缩"
08-22 22:00,英冠,Derby County,Cardiff City,让球客(+0.5),0.6293,1.87,0.1693,False,,让球客(+0.5),1.87,0.1693,1,标准,"{'groups': {'1X2': {'dir': '1X2客胜', 'ev': 51.7}, '让球': {'dir': '让球客(+0.5)', 'ev': 16.9}, '大小球': {'dir': '大2.50', 'ev': 13.8}}, 'level': '三向一致'}",3.1,1.3,"{'market_draw_prob': 27.3, 'strong': False}","{'hot': 'Derby County', 'level': '轻度风险', 'count': 2, 'signals': ['F2疲劳修正(系数0.90)', 'F4基本面攻防接近(冷门温床)']}",纯数据无伤病情报;伤停>2人(主2/客4);平局预警(市场去水平局>=26%);让球客标准档降星,"数据包伤停: 客队伤停4人(如Calum Chambers,Dylan Lawlor,Ollie Ta);主队数据来自E2;主队跨联赛用E2数据(快照联赛与数据联赛不符), 攻防收缩30%;客队样本偏少, 攻防向联赛均值收缩"
08-22 22:00,英冠,Blackburn Rovers,Middlesbrough,让球主(+0.2),0.6196,2.1,0.2943,False,,让球主(+0.2),2.1,0.2943,2,高价值,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 18.4}, '让球': {'dir': '让球主(+0.2)', 'ev': 29.4}, '大小球': {'dir': '小2.50', 'ev': 22.6}}, 'level': '主向稳胜'}",1.95,1.3,"{'market_draw_prob': 28.0, 'strong': False}","{'hot': 'Middlesbrough', 'level': '轻度风险', 'count': 2, 'signals': ['F2疲劳修正(系数0.90)', 'F4基本面攻防接近(冷门温床)']}","纯数据无伤病情报;平局预警(市场去水平局>=26%);联赛英冠历史负ROI(观察期, 300场后定禁入)","主队数据来自E2;主队跨联赛用E2数据(快照联赛与数据联赛不符), 攻防收缩30%;概率封顶校准: 1腿概率>65%压至65%(实测高置信档高估, EV同抽水重算);概率禁带: 1腿让球主/小球概率∈[65%,70%)实测高估, 不纳入候选"
