ct,league,home,away,direction_name,direction_prob,direction_odds,direction_ev,direction_vetoed,veto_reason,best_bet_name,best_bet_odds,best_bet_ev,star,ev_tier,dir_consistency,lambda_sum,snap_age_h,draw_warn,upset,risk_tags,notes
08-23 00:00,土超,Çorum FK,Kasımpaşa,大2.50,0.5465,1.94,0.0491,False,,,,,,垃圾,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 1.6}, '让球': {'dir': '让球主(-0.2)', 'ev': 2.0}, '大小球': {'dir': '大2.50', 'ev': 4.9}}, 'level': '三向一致'}",2.87,3.3,"{'market_draw_prob': 27.1, 'strong': False}","{'hot': 'Çorum FK', 'level': '低风险', 'count': 0, 'signals': []}",纯数据无伤病情报;平局预警(市场去水平局>=26%),"主队样本偏少, 攻防向联赛均值收缩;客队样本偏少, 攻防向联赛均值收缩"
08-23 00:00,土超,Çaykur Rizespor,Samsunspor,让球主(-0.2),0.65,1.87,0.183,True,模型与市场分歧>20pp(模型76% vs 市场52%),,,,,否决,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 38.4}, '让球': {'dir': '让球主(-0.2)', 'ev': 18.3}, '大小球': {'dir': '大2.50', 'ev': 21.2}}, 'level': '三向一致'}",4.14,3.3,"{'market_draw_prob': 28.0, 'strong': False}","{'hot': 'Çaykur Rizespor', 'level': '低风险', 'count': 0, 'signals': []}",纯数据无伤病情报;伤停>2人(主1/客6);λ过高(4.14);平局预警(市场去水平局>=26%);模型与市场分歧>20pp(模型76% vs 市场52%)->否决,"数据包伤停: 客队伤停6人(如Afonso Sousa,Elayis Tavsan,Igor Drap);概率封顶校准: 3腿概率>65%压至65%(实测高置信档高估, EV同抽水重算)"
08-23 02:30,土超,Fenerbahçe,Konyaspor,大2.50,0.65,1.63,0.0551,True,模型与市场分歧>20pp(模型83% vs 市场61%),,,,,否决,"{'groups': {'1X2': {'dir': '1X2客胜', 'ev': 63.3}, '让球': {'dir': '让球主(-1.5)', 'ev': 7.8}, '大小球': {'dir': '大2.50', 'ev': 5.5}}, 'level': '主向分歧'}",4.53,5.8,,"{'hot': 'Fenerbahçe', 'level': '轻度风险', 'count': 2, 'signals': ['L2大热低赔', 'L2大热低赔(去水概率>=55%%)']}",纯数据无伤病情报;伤停>2人(主10/客0);λ过高(4.53);模型与市场分歧>20pp(模型83% vs 市场61%)->否决,"数据包伤停: 主队伤停10人(如Çağlar Söyüncü,Cengiz Ünder,Diego Ca);概率封顶校准: 2腿概率>65%压至65%(实测高置信档高估, EV同抽水重算)"
