ct,league,home,away,direction_name,direction_prob,direction_odds,direction_ev,direction_vetoed,veto_reason,best_bet_name,best_bet_odds,best_bet_ev,star,ev_tier,dir_consistency,lambda_sum,snap_age_h,draw_warn,upset,risk_tags,notes
08-23 03:30,葡超,Sporting CP,FC Alverca,让球客(+1.8),0.65,2.04,0.301,True,模型与市场分歧>20pp(模型79% vs 市场48%),,,,,否决,"{'groups': {'1X2': {'dir': '1X2客胜', 'ev': 402.1}, '让球': {'dir': '让球客(+1.8)', 'ev': 30.1}, '大小球': {'dir': '小2.50', 'ev': 2.8}}, 'level': '客向稳胜'}",2.91,6.8,,"{'hot': 'Sporting CP', 'level': '轻度风险', 'count': 3, 'signals': ['L2大热低赔', 'L2大热低赔(去水概率>=55%%)', 'F4基本面攻防接近(冷门温床)']}",纯数据无伤病情报;模型与市场分歧>20pp(模型79% vs 市场48%)->否决,"主队样本偏少, 攻防向联赛均值收缩;客队样本偏少, 攻防向联赛均值收缩;概率封顶校准: 1腿概率>65%压至65%(实测高置信档高估, EV同抽水重算)"
08-23 03:30,西乙,CD Eldense,Cádiz,大2.50,0.5799,2.28,0.309,False,,大2.50,2.28,0.309,2,高价值,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 11.6}, '让球': {'dir': '让球主(-0.2)', 'ev': 2.4}, '大小球': {'dir': '大2.50', 'ev': 30.9}}, 'level': '三向一致'}",3.01,6.8,"{'market_draw_prob': 30.8, 'strong': True}","{'hot': 'CD Eldense', 'level': '低风险', 'count': 1, 'signals': ['F2疲劳修正(系数0.90)']}",纯数据无伤病情报;平局预警-强(市场去水平局>=30%),
08-23 03:30,西甲,Espanyol,Real Madrid,让球主(+1.2),0.65,1.94,0.2539,True,模型与市场分歧>20pp(模型77% vs 市场51%),,,,,否决,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 105.8}, '让球': {'dir': '让球主(+1.2)', 'ev': 25.4}, '大小球': {'dir': '小2.50', 'ev': 32.7}}, 'level': '主向稳胜'}",2.24,6.8,,"{'hot': 'Real Madrid', 'level': '轻度风险', 'count': 3, 'signals': ['L2大热低赔', 'L2大热低赔(去水概率>=55%%)', 'F2疲劳修正(系数0.90)']}",纯数据无伤病情报;伤停>2人(主3/客5);模型与市场分歧>20pp(模型77% vs 市场51%)->否决,"数据包伤停: 主队伤停3人(如Javi Puado,Kike García,Leandro Cabre); 客队伤停5人(如Éder Militão,Ferland Mendy,Raúl Asen);概率封顶校准: 1腿概率>65%压至65%(实测高置信档高估, EV同抽水重算)"
08-23 05:30,阿甲,CA Independiente,Independiente Rivadavia,小2.50,0.6162,1.56,-0.0882,False,,,,,,垃圾,"{'groups': {'1X2': {'dir': '1X2客胜', 'ev': 16.0}, '让球': {'dir': '让球客(+0.5)', 'ev': 1.5}, '大小球': {'dir': '小2.50', 'ev': -8.8}}, 'level': '客向一致(胜负亚盘)'}",2.22,8.8,"{'market_draw_prob': 29.9, 'strong': False}","{'hot': 'CA Independiente', 'level': '低风险', 'count': 0, 'signals': []}",纯数据无伤病情报;伤停>2人(主4/客1);平局预警(市场去水平局>=26%),"数据包伤停: 主队伤停4人(如Jonathan De Irastorza,Juan Fedorco,L);主队样本偏少, 攻防向联赛均值收缩"
08-23 05:30,巴甲,Internacional,Atlético Mineiro,小2.50,0.65,1.87,0.2076,False,,小2.50,1.87,0.2076,2,高价值,"{'groups': {'1X2': {'dir': '1X2客胜', 'ev': 21.6}, '让球': {'dir': '让球客(+0.5)', 'ev': 14.6}, '大小球': {'dir': '小2.50', 'ev': 20.8}}, 'level': '客向稳胜'}",1.84,8.7,"{'market_draw_prob': 29.6, 'strong': False}","{'hot': 'Internacional', 'level': '低风险', 'count': 1, 'signals': ['F4基本面攻防接近(冷门温床)']}",纯数据无伤病情报;伤停>2人(主7/客5);平局预警(市场去水平局>=26%),"数据包伤停: 主队伤停7人(如Benjamin Arhin,Kayky,Matheus Bahia,R); 客队伤停5人(如Ángelo Preciado,Gustavo Scarpa,Igor );概率封顶校准: 1腿概率>65%压至65%(实测高置信档高估, EV同抽水重算)"
08-23 07:07,墨超,CD Guadalajara,Club Tijuana,让球客(+1.2),0.65,1.84,0.1625,False,,让球客(+1.2),1.84,0.1625,1,标准,"{'groups': {'1X2': {'dir': '1X2平局', 'ev': 37.4}, '让球': {'dir': '让球客(+1.2)', 'ev': 16.3}, '大小球': {'dir': '小2.50', 'ev': 41.2}}, 'level': '平局主导'}",2.18,10.4,,"{'hot': 'CD Guadalajara', 'level': '轻度风险', 'count': 2, 'signals': ['L2大热低赔', 'L2大热低赔(去水概率>=55%%)']}",纯数据无伤病情报;让球客标准档降星,"客队样本偏少, 攻防向联赛均值收缩;概率封顶校准: 1腿概率>65%压至65%(实测高置信档高估, EV同抽水重算)"
08-23 07:30,巴甲,Cruzeiro,Flamengo,大2.50,0.5967,2.06,0.2216,False,,大2.50,2.06,0.2216,2,高价值,"{'groups': {'1X2': {'dir': '1X2客胜', 'ev': 8.1}, '让球': {'dir': '让球客(-0.2)', 'ev': -1.4}, '大小球': {'dir': '大2.50', 'ev': 22.2}}, 'level': '无正EV'}",3.09,10.7,"{'market_draw_prob': 28.4, 'strong': False}","{'hot': 'Flamengo', 'level': '低风险', 'count': 0, 'signals': []}",纯数据无伤病情报;伤停>2人(主4/客4);平局预警(市场去水平局>=26%),"数据包伤停: 主队伤停4人(如Gabriel Pec,Jonathan Jesus,Luis Sini); 客队伤停4人(如Alex Sandro,Luiz Araújo,Nicolás de l)"
08-23 07:30,美职,Charlotte FC,DC United,让球主(-0.8),0.6452,2.06,0.3137,False,,让球主(-0.8),2.06,0.3137,2,高价值,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 6.0}, '让球': {'dir': '让球主(-0.8)', 'ev': 31.4}, '大小球': {'dir': '小2.50', 'ev': 8.1}}, 'level': '主向稳胜'}",2.82,10.7,,"{'hot': 'Charlotte FC', 'level': '低风险', 'count': 0, 'signals': []}",纯数据无伤病情报;伤停>2人(主3/客2),"数据包伤停: 主队伤停3人(如Aron John,Harry Toffolo,Nimfasha Ber)"
08-23 07:30,美职,Orlando City SC,Real Salt Lake,大2.50,0.65,1.41,-0.1354,False,,让球主(-0.5),2.08,0.3169,2,高价值,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 19.3}, '让球': {'dir': '让球主(-0.5)', 'ev': 31.7}, '大小球': {'dir': '大2.50', 'ev': -13.5}}, 'level': '主向一致(胜负亚盘)'}",3.5,10.7,,"{'hot': 'Orlando City SC', 'level': '低风险', 'count': 0, 'signals': []}",纯数据无伤病情报;伤停>2人(主5/客5),"数据包伤停: 主队伤停5人(如Bernardo Rhein,Braian Ojeda,Eduard A); 客队伤停5人(如Aiden  Hezarkhani,Ariath Piol,Emeka );概率封顶校准: 1腿概率>65%压至65%(实测高置信档高估, EV同抽水重算)"
08-23 07:30,美职,New York Red Bulls,Chicago Fire,大2.50,0.65,1.39,-0.1464,False,,,,,,垃圾,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 7.8}, '让球': {'dir': '让球主(+0.0)', 'ev': 4.8}, '大小球': {'dir': '大2.50', 'ev': -14.6}}, 'level': '主向一致(胜负亚盘)'}",4.33,10.7,,"{'hot': 'Chicago Fire', 'level': '轻度风险', 'count': 2, 'signals': ['L5主客接近无明显热门(慎标冷门)', 'F4基本面攻防接近(冷门温床)']}",纯数据无伤病情报;λ过高(4.33),"客队样本偏少, 攻防向联赛均值收缩;概率封顶校准: 1腿概率>65%压至65%(实测高置信档高估, EV同抽水重算)"
08-23 07:30,美职,CF Montréal,LA Galaxy,小2.50,0.5904,2.46,0.4395,False,,小2.50,2.46,0.4395,2,高价值,"{'groups': {'1X2': {'dir': '1X2平局', 'ev': 11.6}, '让球': {'dir': '让球主(-0.5)', 'ev': 6.1}, '大小球': {'dir': '小2.50', 'ev': 44.0}}, 'level': '平局主导'}",2.32,10.7,,"{'hot': 'CF Montréal', 'level': '低风险', 'count': 0, 'signals': []}",纯数据无伤病情报;伤停>2人(主6/客5),"数据包伤停: 主队伤停6人(如Bode Hidalgo,Efraín Morales,Frankie ); 客队伤停5人(如Elijah Wynder,Erik Thommy,João Klaus)"
08-23 07:30,美职,FC Cincinnati,Seattle Sounders FC,大2.50,0.6121,1.37,-0.2072,False,,让球主(-1.0),2.08,0.1589,1,标准,"{'groups': {'1X2': {'dir': '1X2平局', 'ev': 4.9}, '让球': {'dir': '让球主(-1.0)', 'ev': 15.9}, '大小球': {'dir': '小2.50', 'ev': 11.8}}, 'level': '平局主导'}",3.16,10.7,,"{'hot': 'FC Cincinnati', 'level': '轻度风险', 'count': 2, 'signals': ['L2大热低赔', 'L2大热低赔(去水概率>=55%%)']}",纯数据无伤病情报;伤停>2人(主0/客9),"数据包伤停: 客队伤停9人(如Alex Roldán,Cristian Roldán,Jesús Fe)"
08-23 07:30,美职,Inter Miami CF,Toronto FC,大2.50,0.65,1.24,-0.2393,False,,,,,,垃圾,"{'groups': {'1X2': {'dir': '1X2平局', 'ev': 12.0}, '让球': {'dir': '让球主(-1.5)', 'ev': 3.4}, '大小球': {'dir': '小2.50', 'ev': -3.0}}, 'level': '平局主导'}",3.86,10.7,,"{'hot': 'Inter Miami CF', 'level': '轻度风险', 'count': 2, 'signals': ['L2大热低赔', 'L2大热低赔(去水概率>=55%%)']}",纯数据无伤病情报;伤停>2人(主9/客9),"数据包伤停: 主队伤停9人(如Germán Berterame,Gonzalo Luján,Mateo); 客队伤停9人(如Deandre Kerr,Jonathan Osorio,Lazar S);概率封顶校准: 2腿概率>65%压至65%(实测高置信档高估, EV同抽水重算)"
