ct,league,home,away,direction_name,direction_prob,direction_odds,direction_ev,direction_vetoed,veto_reason,best_bet_name,best_bet_odds,best_bet_ev,star,ev_tier,dir_consistency,lambda_sum,snap_age_h,draw_warn,upset,risk_tags,notes
08-22 22:00,比甲,SV Zulte Waregem,SK Beveren,让球主(-0.5),0.65,2.08,0.3276,True,模型与市场分歧>20pp(模型76% vs 市场47%),,,,,否决,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 34.2}, '让球': {'dir': '让球主(-0.5)', 'ev': 32.8}, '大小球': {'dir': '大2.50', 'ev': 13.8}}, 'level': '三向一致'}",5.4,1.3,"{'market_draw_prob': 26.9, 'strong': False}","{'hot': 'SV Zulte Waregem', 'level': '低风险', 'count': 0, 'signals': []}",纯数据无伤病情报;λ过高(5.40);平局预警(市场去水平局>=26%);模型与市场分歧>20pp(模型76% vs 市场47%)->否决,"概率封顶校准: 3腿概率>65%压至65%(实测高置信档高估, EV同抽水重算)"
08-23 00:15,比甲,RC Sporting Charleroi,KV Mechelen,让球主(-0.8),0.6241,1.88,0.1453,False,,让球主(-0.8),1.88,0.1453,1,标准,"{'groups': {'1X2': {'dir': '1X2平局', 'ev': 4.4}, '让球': {'dir': '让球主(-0.8)', 'ev': 14.5}, '大小球': {'dir': '小2.50', 'ev': 13.5}}, 'level': '平局主导'}",2.56,3.6,,"{'hot': 'RC Sporting Charleroi', 'level': '轻度风险', 'count': 2, 'signals': ['L2大热低赔', 'L2大热低赔(去水概率>=55%%)']}",纯数据无伤病情报;伤停>2人(主1/客6),"数据包伤停: 客队伤停6人(如Bill Antonio,Bouke Boersma,Gora Diou)"
08-23 02:45,比甲,Royal Antwerp FC,KRC Genk,让球主(+0.2),0.65,2.03,0.2879,True,模型与市场分歧>20pp(模型80% vs 市场48%),,,,,否决,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 81.3}, '让球': {'dir': '让球主(+0.2)', 'ev': 28.8}, '大小球': {'dir': '大2.50', 'ev': 7.9}}, 'level': '三向一致'}",3.07,6.1,"{'market_draw_prob': 27.1, 'strong': False}","{'hot': 'KRC Genk', 'level': '低风险', 'count': 0, 'signals': []}",纯数据无伤病情报;平局预警(市场去水平局>=26%);模型与市场分歧>20pp(模型80% vs 市场48%)->否决,"主队样本偏少, 攻防向联赛均值收缩;概率封顶校准: 1腿概率>65%压至65%(实测高置信档高估, EV同抽水重算)"
