ct,league,home,away,direction_name,direction_prob,direction_odds,direction_ev,direction_vetoed,veto_reason,best_bet_name,best_bet_odds,best_bet_ev,star,ev_tier,dir_consistency,lambda_sum,snap_age_h,draw_warn,upset,risk_tags,notes
08-22 23:00,西乙,Real Oviedo,Leganés,小2.50,0.65,1.63,0.0161,False,,让球客(+0.5),2.12,0.173,1,标准,"{'groups': {'1X2': {'dir': '1X2平局', 'ev': 29.4}, '让球': {'dir': '让球客(+0.5)', 'ev': 17.3}, '大小球': {'dir': '小2.50', 'ev': 1.6}}, 'level': '平局主导'}",1.3,2.3,"{'market_draw_prob': 29.2, 'strong': False}","{'hot': 'Real Oviedo', 'level': '低风险', 'count': 1, 'signals': ['F2疲劳修正(系数0.90)']}",纯数据无伤病情报;平局预警(市场去水平局>=26%);让球客标准档降星,"概率封顶校准: 1腿概率>65%压至65%(实测高置信档高估, EV同抽水重算)"
08-23 01:00,西乙,Albacete Balompié,Real Sociedad B,让球主(-0.8),0.5982,2.06,0.2112,False,,让球主(-0.8),2.06,0.2112,3,高价值,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': -1.7}, '让球': {'dir': '让球主(-0.8)', 'ev': 21.1}, '大小球': {'dir': '大2.50', 'ev': 5.4}}, 'level': '无正EV'}",2.87,4.3,,"{'hot': 'Albacete Balompié', 'level': '低风险', 'count': 1, 'signals': ['F2疲劳修正(系数0.90)']}",纯数据无伤病情报,
08-23 01:00,西乙,AD Ceuta,UD Las Palmas,让球主(+0.2),0.65,1.93,0.1979,True,模型与市场分歧>20pp(模型71% vs 市场49%),,,,,否决,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 16.7}, '让球': {'dir': '让球主(+0.2)', 'ev': 19.8}, '大小球': {'dir': '小2.50', 'ev': 25.9}}, 'level': '主向稳胜'}",2.21,4.3,"{'market_draw_prob': 28.8, 'strong': False}","{'hot': 'UD Las Palmas', 'level': '轻度风险', 'count': 2, 'signals': ['F2疲劳修正(系数0.90)', 'F4基本面攻防接近(冷门温床)']}",纯数据无伤病情报;平局预警(市场去水平局>=26%);模型与市场分歧>20pp(模型71% vs 市场49%)->否决,"主队样本偏少, 攻防向联赛均值收缩;概率封顶校准: 1腿概率>65%压至65%(实测高置信档高估, EV同抽水重算)"
08-23 03:30,西乙,CD Eldense,Cádiz,大2.50,0.5799,2.28,0.309,False,,大2.50,2.28,0.309,2,高价值,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 11.6}, '让球': {'dir': '让球主(-0.2)', 'ev': 2.4}, '大小球': {'dir': '大2.50', 'ev': 30.9}}, 'level': '三向一致'}",3.01,6.8,"{'market_draw_prob': 30.8, 'strong': True}","{'hot': 'CD Eldense', 'level': '低风险', 'count': 1, 'signals': ['F2疲劳修正(系数0.90)']}",纯数据无伤病情报;平局预警-强(市场去水平局>=30%),
