ct,league,home,away,direction_name,direction_prob,direction_odds,direction_ev,direction_vetoed,veto_reason,best_bet_name,best_bet_odds,best_bet_ev,star,ev_tier,dir_consistency,lambda_sum,snap_age_h,draw_warn,upset,risk_tags,notes
08-22 22:00,英超,Nottingham Forest,Leeds United,小2.50,0.65,1.83,0.1834,True,模型与市场分歧>20pp(模型75% vs 市场54%),,,,,否决,"{'groups': {'1X2': {'dir': '1X2平局', 'ev': 14.8}, '让球': {'dir': '让球客(+0.2)', 'ev': 4.0}, '大小球': {'dir': '小2.50', 'ev': 18.3}}, 'level': '平局主导'}",1.73,1.3,"{'market_draw_prob': 28.4, 'strong': False}","{'hot': 'Nottingham Forest', 'level': '低风险', 'count': 1, 'signals': ['F2疲劳修正(系数0.90)']}",纯数据无伤病情报;伤停>2人(主0/客3);平局预警(市场去水平局>=26%);模型与市场分歧>20pp(模型75% vs 市场54%)->否决,"数据包伤停: 客队伤停3人(如Gabriel Gudmundsson,Mateo Joseph,Wil);主队数据来自E1;客队数据来自E1;主队跨联赛用E1数据(快照联赛与数据联赛不符), 攻防收缩30%;客队跨联赛用E1数据(快照联赛与数据联赛不符), 攻防收缩30%;概率封顶校准: 1腿概率>65%压至65%(实测高置信档高估, EV同抽水重算)"
08-22 22:00,英超,Ipswich Town,Sunderland,让球主(+0.0),0.65,2.02,0.3061,True,模型与市场分歧>20pp(模型80% vs 市场49%),,,,,否决,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 82.5}, '让球': {'dir': '让球主(+0.0)', 'ev': 30.6}, '大小球': {'dir': '小2.50', 'ev': 7.9}}, 'level': '主向稳胜'}",2.26,1.3,"{'market_draw_prob': 29.4, 'strong': False}","{'hot': 'Sunderland', 'level': '轻度风险', 'count': 2, 'signals': ['L5主客接近无明显热门(慎标冷门)', 'F2疲劳修正(系数0.90)']}",纯数据无伤病情报;平局预警(市场去水平局>=26%);模型与市场分歧>20pp(模型80% vs 市场49%)->否决,"主队数据来自E2;主队跨联赛用E2数据(快照联赛与数据联赛不符), 攻防收缩30%;概率封顶校准: 1腿概率>65%压至65%(实测高置信档高估, EV同抽水重算)"
08-22 22:00,英超,Everton,Crystal Palace,小2.50,0.6331,1.92,0.208,False,,小2.50,1.92,0.208,2,高价值,"{'groups': {'1X2': {'dir': '1X2平局', 'ev': 5.8}, '让球': {'dir': '让球客(+0.2)', 'ev': 8.7}, '大小球': {'dir': '小2.50', 'ev': 20.8}}, 'level': '平局主导'}",2.16,1.3,"{'market_draw_prob': 28.1, 'strong': False}","{'hot': 'Everton', 'level': '低风险', 'count': 1, 'signals': ['F2疲劳修正(系数0.90)']}",纯数据无伤病情报;伤停>2人(主3/客1);平局预警(市场去水平局>=26%),"数据包伤停: 主队伤停3人(如Christian Nørgaard,James Garner,Tim )"
08-23 00:30,英超,Brentford,Tottenham Hotspur,让球主(-0.2),0.5592,1.91,0.0586,False,,让球主(-0.2),1.91,0.0586,1,观察,"{'groups': {'1X2': {'dir': '1X2主胜', 'ev': 12.4}, '让球': {'dir': '让球主(-0.2)', 'ev': 5.9}, '大小球': {'dir': '小2.50', 'ev': 11.7}}, 'level': '主向稳胜'}",2.7,3.8,,"{'hot': 'Brentford', 'level': '低风险', 'count': 1, 'signals': ['F2疲劳修正(系数0.90)']}",纯数据无伤病情报,"客队数据来自E1;客队跨联赛用E1数据(快照联赛与数据联赛不符), 攻防收缩30%"
